AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
DOG,October,,Infant - Younger than 6 months,FEMALE,false,PUPPY,FAWN,Owner Surrender,Other
DOG,July,,Older than 1 year,FEMALE,true,LARGE,BROWN,Stray,Home
DOG,May,,,MALE,true,MED,BLACK,Stray,Euthanized
CAT,September,MAINE COON - DOMESTIC LH,Older than 1 year,FEMALE,true,LARGE,BRN TABBY,Owner Surrender,Home
DOG,May,,Older than 1 year,FEMALE,true,SMALL,BLACK,Owner Surrender,Home
CAT,August,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,Owner Surrender,Home
DOG,August,LABRADOR RETR - MIX,Older than 1 year,MALE,true,X-LRG,TAN,Stray,Euthanized
DOG,December,,,MALE,false,LARGE,BROWN,Stray,Euthanized
DOG,February,,Older than 1 year,MALE,true,LARGE,BL BRINDLE,Owner Surrender,Euthanized
CAT,September,,Older than 1 year,FEMALE,true,LARGE,GRAY TABBY,Stray,Home
CAT,March,,,FEMALE,false,LARGE,CALICO,Stray,Euthanized
CAT,March,,,MALE,false,MED,GRAY,Stray,Euthanized
DOG,April,LABRADOR RETR - MIX,Older than 1 year,FEMALE,true,MED,YELLOW,Stray,Home
DOG,July,PIT BULL - MIX,Youth - Younger than 1 year,FEMALE,true,PUPPY,WHITE,Owner Surrender,Home
CAT,June,,,UNKNOWN,false,KITTN,GRAY TABBY,Stray,Euthanized
CAT,July,,,UNKNOWN,false,MED,GRAY,Stray,Euthanized
DOG,June,GERM SHEPHERD - MIX,,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
CAT,April,,Infant - Younger than 6 months,MALE,true,KITTN,ORANGE,Stray,Home
DOG,May,GOLDEN RETR - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,TAN,Owner Surrender,Home
CAT,April,,,UNKNOWN,false,KITTN,CREAM,Owner Surrender,Other
CAT,January,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
DOG,December,,,MALE,false,SMALL,WHITE,Stray,Other
CAT,September,,Youth - Younger than 1 year,MALE,false,KITTN,ORG TABBY,Owner Surrender,Euthanized
DOG,June,BEAGLE - MIX,Older than 1 year,FEMALE,false,MED,BROWN,Owner Surrender,Other
CAT,June,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,Stray,Home
DOG,March,,Older than 7 years,FEMALE,false,TOY,SILVER,Stray,Euthanized
CAT,April,,,UNKNOWN,false,MED,BUFF,Stray,Euthanized
CAT,June,,,FEMALE,false,MED,BRN TABBY,Stray,Other
CAT,July,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,Foster Return,Home
DOG,October,,,MALE,false,MED,BROWN,Stray,Euthanized
DOG,March,WELSH TERRIER - MIX,Older than 7 years,MALE,true,MED,TAN,Stray,Home
